ID Part,Nama Part,Customer,Stok Terkini (pcs),Std Stock (3HK),Material,Proses,Minimal Produksi
D-0138,D-138-BRACKET,KJI,"[0, 0]",10,,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
D-126,D-126-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 611 X 1219 ,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
D-129,D-129-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 565 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
D-136,D-136-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 565 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
D-137,D-137-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 735.5 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
D-138,D-138-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 735.5 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
D-143,D-143-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 671 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
D-145,D-145-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 735.5 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
D-146,D-146-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 640 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
D-147,D-147-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 640 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
DV57483-BZ020,"AE-0096=BRACKET, FR SEAT, OUTSIDE UPR RH",IPPI,"[0, 0, 0, 0, 2363]",2400,SPC440 T. 1.00 X 217 X 1200,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}, {""process_name"": ""Bending 1"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Bending 2"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Restrike"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Piercing"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75]}]",1600
DV57483-BZ050,"XP-0080=BRACKET, FR SEAT, OUTSIDE UPR RH",IPPI,"[0, 0, 0, 788]",1000,SPC440 T. 1.00 X 277 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}, {""process_name"": ""Bending 1"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Bending 2"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}]",1000
DV57484-BZ020,"AE-0097=BRACKET, FR SEAT, OUTSIDE UPR LH",IPPI,"[0, 0, 0, 0, 1578]",2400,SPC440 T. 1.00 X 217 X 1200,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}, {""process_name"": ""Bending 1"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Bending 2"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Restrike"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Piercing"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75]}]",1600
